comment_text,like_count,reply_count,published_at
"2:12:45 his smile is so.. <3
2:19:00 anies vs omon²
2:20:10 kelazz kingggg
1:50:27 his smile <3
2:10:08 kinerja menhan",4,0,2024-01-30T13:37:55Z
"Tapi kami tetap akan memilih bapak PraBowo,Bapak PRABOWO & Gibran,jangan takut,jangan panik,kami akan tetap mendukung Bapak PRABOWO & Gibran.",0,0,2024-01-30T10:16:17Z
"Masyarakat tau siapa yg harus jadi pemimpin,pilih ikut kata Hati & ikut apa yg sudah nampak terbukti,bukan manis mulut bagi janji2 sebelum dpt jambatan, Semoga Presiden INDONESIA bersikap adil,dan buktikan,semoga amanah,Amin",0,0,2024-01-30T10:14:57Z
"Saya TKI di Malaysia,siapapun jadi Presiden INDONESIA,kami berharap untuk dipermudah& disediakan bagi seluruh rakyat Bangsa Indonesia lowongan pekerjaan tanpa melihat status pendidikan,Batas umur pensiun 60thn seperti warga negara di Malaysia,tidak membedakan Tinggi&Berat Badan, Contoh: Untuk kerja di Restoran saja harus menarik,tidak boleh umur diatas 25thn,harus ada ijazah D1,S1,dan seterusnya,jadi bagaimana bagi kami Rakyat yg tidak mampu untuk sekolah tinggi?????",0,0,2024-01-30T10:11:58Z
tidak bisa menanggapi dan mudah tersinggung wkwk,0,0,2024-01-30T05:08:13Z
"Kami anak tambang Lebong, propinsi Bengkulu sepenuh hati siap dukung,  Prabowo Gibran❤️❤️🔥🔥",2,0,2024-01-30T02:31:44Z
Mustahil banget anis jadi presiden  aku yakin bngt ga bakal jadi presiden    presiden kalo ga pranowo ya prabowo,0,0,2024-01-29T18:42:37Z
"Politik membawa bencana, bisa membuat musim kemarau uang",0,0,2024-01-29T18:01:39Z
🤟🤟🤟,0,0,2024-01-29T13:23:28Z
Pendukung paslon dua gak bisa menyingkapi kayaknya,0,0,2024-01-29T09:02:23Z
"Gue pilih prab w karena suka memberikan mainan pesawat kepada Indonesia,sayangnya tidak ada kereta tempur",0,0,2024-01-29T05:30:35Z
"Hanya Pak Jokowi yg bisa menghadapi Bu Mega, walau sebagai anggota partai. Tapi saya belum yakin kalau Pak Anis ke Pak Paloh dan Pak Ganjar ke Bu Mega bisa menghadapi atasan partainya seperti PakJokowi. Just saying. Let's we think about it.",0,0,2024-01-29T04:04:27Z
Dasar sengkuni 45:33,0,0,2024-01-29T00:22:37Z
klo saya milih yg tegas terbukti dan punya jasa ke INDONESIA RAYA dari pinter ngomong dan tidak punya jasa di INDONESIA RAYA,0,0,2024-01-28T20:18:48Z
Anis dan ganjar cocok jd presiden,0,0,2024-01-28T18:57:32Z
Pak. Perabowo semangat,0,0,2024-01-28T17:08:45Z
2,0,0,2024-01-28T12:22:17Z
"semakin memusingkan antara memilih pak ganjar atau pak prabowo.. keduanya memiliki kemungkinan yang baik, tetapi saya sangat menyukai gagasan dan komunikasi pak ganjar untuk menginfluance audiance.. tahun ini saya belum bisa memilih calon presiden, tetapi sebagai anak muda bangsa, saya berharap orang-orang dewasa tidak terpengaruh dalam memilih pemimpin bangsa. saya sangat berharap orang-orang dewasa bisa mewakili suara kami secara pasti terhadap penilaian yang ada, tanpa terpengaruh dengan hasutan media sosial yang saling menjatuhkan. pesan saya, pilihlah yang tidak hanya berfocus pada pangkat tetapi yang berfocus untuk siapa pangkat mereka diperjuangkan, yaitu seluruh rakyat Indonesia TANPA PENGECUALIAN. yang memperdulikan banyak sektor masyarakat dan bukan hanya berfocus pada salah satu sektor saja, karna itulah alasan rakyat memilih seorang pemimpin. NASIB BANGSA ADA DI SUARA KITA, PIKIRKANLAH BAIK-BAIK AKAN KEMANA NEGARA INI DIPIMPIN. MERDEKAAA!!!!!",0,0,2024-01-28T05:48:28Z
Kemarin malem aku bermimpi prab w menang sumo dengan ganj p,0,0,2024-01-28T01:10:03Z
"Justru Dengan Mereka sering menjatuhkan Pk prabowo, sneaking Mereka nunjukin kelemahannya... 

Salam 2 jari 😍😍",0,0,2024-01-28T01:09:56Z
Salut sama pak  prabowo....,0,0,2024-01-27T16:04:55Z
Nmor 2,0,0,2024-01-27T15:51:18Z
"Mohon maaf kita kita orang se Indonesia tidak bisa pilih prab w, kita kita pilih sumo",0,0,2024-01-27T07:24:45Z
Etik yg tertinggi yg disampaikan pak prabowo jdi terbaca kalau pak prabowo tau bgt ttg karakter seseorang yg sesungguhnya.,0,0,2024-01-27T03:55:31Z
Sy menetapkan pilihan pada pak prabowo. Semoga menang 1 putaran,0,0,2024-01-27T00:13:36Z
Nomor 2,0,0,2024-01-26T22:06:00Z
Perbowo presiden ku,0,0,2024-01-26T22:05:22Z
Ya Mantap Prabowo . Kesindir tuh 01 . Dari cara bicaranya Pak Probowo sdg menahan marah tp good Pak tetap sabar jgn kepancing .,1,0,2024-01-26T18:37:55Z
Geli gaya ngomongnya Anies,0,0,2024-01-26T18:21:29Z
cara alloh membukakan hati rakyat agar tidak tertipu .terimakasih ya alloh .inshaalloh 2024 pak prabowo presiden Indonesia. aamiin yaa mujibassailin,1,0,2024-01-26T17:02:44Z
